6428,0,1,0,0,0,,
6589,0,0,1,0,0,,
6797,0,0,0,1,0,,
7205,0,0,0,1,0,,
7392,0,0,1,0,0,,
7579,0,1,0,0,0,,
7942,0,2,0,2,0,800,800
10962,0,1,0,1,0,,
12129,0,1,0,1,0,,
12495,0,1,0,0,0,,
12690,0,0,1,0,0,,
12894,0,0,0,1,0,,
13245,0,0,0,1,0,,
13445,0,0,1,0,0,,
13627,0,1,0,0,0,,
13979,0,2,0,2,0,800,800
17027,0,1,0,0,0,,
17415,0,0,1,0,0,,
17803,0,0,0,2,0,388,

18589,0,1,0,0,0,,
18966,0,0,0,1,0,,
19352,0,1,0,0,0,,
19724,0,0,0,1,0,,
20112,0,0,0,1,0,,
20492,0,1,0,0,0,,
20858,0,0,0,1,0,,
21229,0,1,0,0,0,,
21616,0,0,0,0,1,,
22007,1,0,0,0,0,,
22376,0,0,0,0,1,,
22761,1,0,0,0,0,,
23143,0,0,0,0,1,,
23508,1,0,0,0,0,,
23903,0,0,0,0,1,,
24271,1,0,0,0,0,,
24646,0,1,0,0,0,,
25024,0,0,0,1,0,,
25380,0,1,0,0,0,,
25770,0,0,0,1,0,,
26175,0,0,0,1,0,,
26548,0,1,0,0,0,,
26926,0,0,0,1,0,,
27315,0,1,0,0,0,,
27707,0,0,0,0,1,,
28099,1,0,0,0,0,,
28448,0,0,0,0,1,,
28810,1,0,0,0,0,,
29189,0,0,0,0,1,,
29598,1,0,0,0,0,,
29968,0,0,0,0,1,,
30341,1,0,0,0,0,,

30658,0,1,0,0,0,,
30828,0,0,1,0,0,,
31022,0,0,0,1,0,,
31452,0,0,0,1,0,,
31635,0,0,1,0,0,,
31822,0,1,0,0,0,,
32948,0,0,0,1,0,,
33315,0,1,0,0,0,,
33696,0,1,0,0,0,,
33875,0,0,1,0,0,,
34059,0,0,0,1,0,,
34455,0,0,0,1,0,,
34642,0,0,1,0,0,,
34836,0,1,0,0,0,,
35976,0,0,0,1,0,,
36354,0,1,0,0,0,,
36729,0,1,0,0,0,,
36910,0,0,1,0,0,,
37092,0,0,0,1,0,,
37473,0,0,0,1,0,,
37651,0,0,1,0,0,,
37838,0,1,0,0,0,,
39011,0,0,0,1,0,,
39362,0,1,0,0,0,,
39740,0,1,0,0,0,,
40129,0,0,1,0,0,,
40503,0,0,0,2,0,388,
41285,0,0,2,0,0,1164,
42823,0,1,0,0,0,,
43025,0,0,1,0,0,,
43254,0,0,0,1,0,,
43581,0,0,0,1,0,,
43776,0,0,1,0,0,,
43970,0,1,0,0,0,,
45074,0,0,0,1,0,,
45455,0,1,0,0,0,,
45841,0,1,0,0,0,,
46022,0,0,1,0,0,,
46190,0,0,0,1,0,,
46573,0,0,0,1,0,,
46760,0,0,1,0,0,,
46945,0,1,0,0,0,,
48139,0,0,0,1,0,,
48514,0,1,0,0,0,,
48888,0,1,0,0,0,,
49058,0,0,1,0,0,,
49254,0,0,0,1,0,,
49637,0,0,0,1,0,,
49813,0,0,1,0,0,,
49998,0,1,0,0,0,,
51145,0,0,0,1,0,,
51510,0,1,0,0,0,,
51892,0,1,0,0,0,,
52271,0,0,1,0,0,,
52669,0,0,0,2,0,388,
53441,0,0,2,0,0,1164,

54947,0,1,0,0,0,,
55328,0,0,0,1,0,,
55708,0,0,0,1,0,,
56083,0,1,0,0,0,,
56484,0,1,0,1,0,,
58032,0,1,0,0,0,,
58425,0,0,0,1,0,,
58788,0,0,0,1,0,,
59172,0,1,0,0,0,,
59517,0,1,0,1,0,,
61062,0,1,0,0,0,,
61431,0,0,0,1,0,,
61832,0,0,0,1,0,,
62211,0,1,0,0,0,,
62559,0,1,0,1,0,,
64110,0,1,0,0,0,,
64490,0,0,1,0,0,,
64869,0,0,0,1,0,,
65270,0,0,0,0,1,,
65647,0,0,0,1,0,,
65996,0,0,1,0,0,,
66370,0,1,0,0,0,,
66751,1,0,0,0,0,,
